SPECIES,M160a,M160b,M280a,M280b,M530a,M530b,M820a,M820b,M990a,M990b,M1220a,M1220b
Halalaimus M24,0,0,0,0,1.315487214,0,0,0,0,0,0,0
Halalaimus M25,0,0,0,0,1.284365588,0,0,0,0,0,0,0
Halalaimus M26,0,0,0,0,1.284365588,0,0,0,0,0,0,0
Halalaimus M27,2.04999425,0,1.183018098,0,0,1.173433306,0,0,0,0,0,0
Halalaimus M28,0,0,1.183018098,0,0,0,0,0,0,0,0,0
Halalaimus M29,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Halalaimus M3,0,0,0,0,0,1.173433306,0,1.07296373,0,0,0,1.166824999
Halalaimus M30,2.04999425,0,0,0,0,0,0,0,0,0,0,0
Halalaimus M31,1.538503693,2.960208756,0,0,0,0,0,0,0,0,0,0
Halalaimus M32,1.191173956,0,0,0,0,0,0,0,0,0,0,0
Halalaimus M33,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Halalaimus M34,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Halalaimus M35,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Halalaimus M36,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Halalaimus M4,0,0,0,0,0,0,1.106698893,0,0,0,0,1.166824999
Halalaimus M5,0,0,0,0,0,0,0,0,1.241135865,0,0,0
Halalaimus M6,0,0,0,0,0,0,0,0,1.270450484,0,0,0
Halalaimus M7,0,0,1.25658754,0,0,0,0,1.07296373,0,1.213202294,0,0
Halalaimus M8,0,0,1.183018098,0,0,0,0,0,0,1.213202294,0,0
Halalaimus M9,0,0,0,0,2.630575433,0,0,0,0,1.213202294,0,0
Halalaimus pachydoroides,0,2.960208756,0,0,3.814394227,0,0,2.548123481,0,0,1.115981304,0
Halichoanolaimus,0,0,0,0,0,1.193131227,0,0,0,0,0,0
Halichoanolaimus lanceolatus,2.04999425,0,1.25658754,2.330123651,0,2.346866613,2.310613689,1.24804248,1.312392939,1.666794666,1.48006512,2.446869319
Halichoanolaimus M2,0,1.340656528,0,0,0,0,0,0,0,1.248094015,0,0
Haliplectus (aff) M1,0,0,0,0,0,0,0,0,7.411637649,1.213202294,0,1.161164033
Hopperia M1,0,0,0,1.99999,1.245663052,9.273298907,6.659289341,0,2.354189396,3.74371005,1.249885501,9.792139247
Hypodontolaimus,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Hypodontolaimus M1,0,0,1.183018098,0,0,1.72738709,1.106698893,0,2.447545182,0,0,0
Hypodontolaimus M2,0,0,0,0,2.53002864,1.193131227,0,0,0,0,0,0
Innocuonema M1,0,0,1.183018098,0,0,0,0,0,0,0,0,0
Ixonema M1,2.04999425,13.18009358,0,7.257528288,2.630575433,4.693733225,1.106698893,1.24804248,0,0,0,0
Laimella,1.203270016,0,0,0,0,0,0,0,0,1.213202294,0,0
Laimella M1,0,0,0,0,1.284365588,3.639291443,2.262005738,2.198406984,0,0,0,0
Laimella M2,2.04999425,0,0,0,0,0,0,0,0,0,0,0
Laimella M3,0,0,0,1.120781604,0,0,0,0,0,0,1.274293354,0
Ledovitia hieta,0,3.721405293,0,0,1.315487214,1.173433306,0,2.347466475,1.177094698,1.213202294,1.264462413,6.150473097
Leptolaimoides M1,0,0,0,0,0,0,0,1.07296373,1.545556908,2.803349573,1.264462413,3.892746644
Leptolaimoides M2,0,0,0,0,2.602645768,1.72738709,0,0,0,1.142846857,1.48006512,2.607041358
Leptolaimoides M3,0,0,1.183018098,0,1.284365588,2.385860457,0,0,1.270450484,0,0,1.500155999
Leptolaimoides M4,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Leptolaimoides M5,0,2.280094678,0,0,0,1.72738709,0,1.300081001,0,0,2.740798555,5.126171243
Leptolaimoides M6,0,0,0,0,0,0,0,1.24804248,0,0,0,0
Leptolaimus,0,0,2.499212995,0,1.284365588,0,1.106698893,1.09898299,0,3.799193606,0,0
Leptolaimus M11,0,0,0,0,2.560751271,0,0,0,0,0,0,0
Leptolaimus M12,0,0,0,0,1.245663052,0,0,0,0,2.74500604,0,0
Leptolaimus M13,0,2.960208756,0,0,0,0,0,0,0,0,0,0
Leptolaimus M14,0,0,0,0,0,0,0,1.07296373,1.241135865,0,0,0
Leptolaimus M2,0,0,0,0,0,0,0,0,2.447545182,2.46129631,1.274293354,0
Leptolaimus M3,0,0,0,0,0,0,0,0,0,4.093199254,0,0
Leptolaimus M4,0,0,0,0,0,0,0,0,1.270450484,2.585991312,0,0
Leptolaimus M5,0,0,0,1.209342047,0,0,1.631404369,0,2.447545182,1.248094015,4.075772545,2.2500675
Leptolaimus M6,0,0,0,0,0,0,5.582102418,9.240365404,5.052036324,8.935140519,2.538416769,1.166824999
Leptolaimus M7,0,0,2.879411276,0,0,0,0,0,0,0,0,0
Leptolaimus M8,0,0,2.696293178,1.120781604,0,0,0,0,0,0,0,0
Leptolaimus M9,0,0,5.366810201,4.571194856,0,2.385860457,0,1.09898299,1.270450484,3.958208334,1.115981304,0
Leptolaimus pocillus,0,8.879927281,1.439705638,2.419176096,3.845116859,3.578991684,0,1.09898299,0,3.728838169,0,0
Leptolaimus tritubulatus,0,5.919718525,0,0,2.560751271,0,0,0,0,0,0,0
Leptosomatidae,0,1.340656528,0,0,0,0,0,0,0,1.248094015,0,1.303687178
Leptosomatidae M1,0,0,1.183018098,0,0,0,0,0,0,0,0,0
Leptosomatidae M2,0,0,0,6.812266061,0,0,0,0,0,0,0,0
Leptosomatidae M3,0,0,0,1.367274836,0,0,0,0,0,0,0,0
Leptosomatidae M4,0,0,0,1.209342047,0,0,0,0,0,0,0,0
Linhomoeidae,6.327391637,10.80283975,1.183018098,3.120771604,0,1.173433306,3.417312583,1.24804248,1.270450484,2.87999696,2.380443717,0
Linhomoeidae M2,6.14998275,0,0,0,0,0,0,0,0,0,0,0
Linhomoeidae M3,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Litinium aequale,0,0,0,0,0,0,2.374845625,0,0,2.426404589,0,1.166824999
Litinium bananum,0,0,1.315657894,1.209342047,1.356982716,2.92011632,4.951501048,3.271370714,0,0,0,0
Litinium M3,0,1.340656528,0,1.120781604,0,0,0,0,0,1.248094015,0,0
Litinium M4,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Longicyatholaimus,0,2.960208756,0,0,1.315487214,0,0,0,0,0,0,0
Longicyatholaimus cervoides,0,0,1.439705638,4.526914635,0,0,0,1.07296373,0,1.248094015,0,0
Longicyatholaimus M2,7.341156706,0,2.622723736,3.367264836,0,1.72738709,1.155306845,0,0,0,1.115981304,0
Longicyatholaimus M3,0,0,0,0,0,0,0,1.07296373,0,0,1.274293354,0
Marylynnia M1,0,2.280094678,0,1.120781604,0,0,0,0,0,1.248094015,0,1.303687178
Marylynnia M2,0,2.280094678,0,0,0,0,0,0,0,0,0,0
Metacyatholaimus,0,3.620052219,1.315657894,0,0,0,0,0,0,0,0,0
Metacyatholaimus M1,0,0,3.806278838,3.361852809,2.568731175,6.050879796,1.631404369,0,5.877355594,2.585991312,1.264462413,2.446869319
Metacyatholaimus M2,0,0,0,0,6.483672196,0,0,0,4.695750955,0,0,1.161164033
Metacyatholaimus M3,2.04999425,3.620052219,2.439605638,1.209342047,0,0,0,1.24804248,0,0,0,0
Metacyatholaimus M4,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Metacyatholaimus M5,0,0,0,0,0,0,0,0,0,2.495616035,0,0
Metacyatholaimus M6,0,2.960208756,0,0,0,0,2.213397787,0,0,0,0,0
Metadasynemella M3,0,0,0,0,2.630575433,0,0,1.24804248,0,0,0,0
Metadasynemella macrophalla,0,0,4.319116915,1.209342047,0,0,0,0,0,0,0,0
Metalinhomoeus M1,0,0,0,0,0,0,0,0,0,0,1.274293354,0
Metasphaerolaimus M1,0,0,6.451556709,4.729127646,1.284365588,5.130705477,9.096630903,7.242615426,7.21996514,10.42290062,1.48006512,1.166824999
Metasphaerolaimus M2,0,0,0,0,0,0,1.631404369,0,0,0,0,0
Metasphaerolaimus M3,0,1.340656528,0,0,0,0,0,0,0,0,0,0
Metasphaerolaimus M4,0,0,0,1.120781604,0,0,0,0,0,0,0,0
Microlaiminae,2.04999425,0,0,0,0,0,0,0,0,0,0,0
Microlaiminae M1,22.91742659,0,0,0,0,0,0,0,0,0,0,0
Microlaiminae M4,1.815561078,0,0,0,0,0,0,0,0,0,0,0
Microlaimus,3.091407457,0,0,0,0,0,0,0,0,0,0,0
Microlaimus M1,1.191173956,8.321436893,23.56907141,20.07714439,3.885415375,7.692239231,0,0,0,2.426404589,0,0
Microlaimus M2,0,0,8.381546289,6.939694698,0,0,0,0,0,0,0,0
